
_____Results dataset-12532,11694,11716,11950,11195,11998,274,11407,46,11326,11335,12197,11693,11780,12502,11866,11400,12256,10320,10030_____

_____Average_____
training_error: 0.32472
validation_error: 0.23933
mean_squared_error_proper_scale_0: 56435.21484375
mean_absolute_error_proper_scale_0: 214.31698608398438
mean_absolute_percentage_error_proper_scale_0: 57.30936050415039
mase_proper_scale_0: 1.6853200197219849
smape_proper_scale_0: 0.81886
test_12532_MAE: 355.76993
test_12532_MASE: 2.79767
test_12532_MSE: 137143.67188
test_12532_MAPE: 100.0603
test_MASE_7_DAYS_0: 0.9423499703407288
mean_squared_error_proper_scale_1: 14.698180198669434
mean_absolute_error_proper_scale_1: 3.401129961013794
mean_absolute_percentage_error_proper_scale_1: 34.52901077270508
mase_proper_scale_1: 0.7036799788475037
smape_proper_scale_1: 0.305
test_11694_MAE: 11.7824
test_11694_MASE: 2.43774
test_11694_MSE: 160.04822
test_11694_MAPE: 102.28551
test_MASE_7_DAYS_1: 0.4328700006008148
mean_squared_error_proper_scale_2: 11.366129875183105
mean_absolute_error_proper_scale_2: 3.0464398860931396
mean_absolute_percentage_error_proper_scale_2: 1025106496.0
mase_proper_scale_2: 0.9139299988746643
smape_proper_scale_2: 1.11129
test_11716_MAE: 3.24521
test_11716_MASE: 0.97356
test_11716_MSE: 20.41715
test_11716_MAPE: 108552440.0
test_MASE_7_DAYS_2: 0.8885499835014343
mean_squared_error_proper_scale_3: 2.350559949874878
mean_absolute_error_proper_scale_3: 1.3870799541473389
mean_absolute_percentage_error_proper_scale_3: 101.68079376220703
mase_proper_scale_3: 1.040310025215149
smape_proper_scale_3: 0.65171
test_11950_MAE: 2.51976
test_11950_MASE: 1.88982
test_11950_MSE: 8.36663
test_11950_MAPE: 137.08342
test_MASE_7_DAYS_3: 0.571150004863739
mean_squared_error_proper_scale_4: 39230.68359375
mean_absolute_error_proper_scale_4: 182.06773376464844
mean_absolute_percentage_error_proper_scale_4: 53.2406005859375
mase_proper_scale_4: 4.300809860229492
smape_proper_scale_4: 0.75043
test_11195_MAE: 324.13651
test_11195_MASE: 7.65677
test_11195_MSE: 110038.91406
test_11195_MAPE: 100.04372
test_MASE_7_DAYS_4: 0.7823699712753296
mean_squared_error_proper_scale_5: 8.193329811096191
mean_absolute_error_proper_scale_5: 2.638240098953247
mean_absolute_percentage_error_proper_scale_5: 673865280.0
mase_proper_scale_5: 2.26134991645813
smape_proper_scale_5: 0.90243
test_11998_MAE: 2.08142
test_11998_MASE: 1.78407
test_11998_MSE: 5.33805
test_11998_MAPE: 28407568.0
test_MASE_7_DAYS_5: 0.8029400110244751
mean_squared_error_proper_scale_6: 43794.85546875
mean_absolute_error_proper_scale_6: 192.30264282226562
mean_absolute_percentage_error_proper_scale_6: 64.59983825683594
mase_proper_scale_6: 1.6459599733352661
smape_proper_scale_6: 0.969
test_274_MAE: 286.43289
test_274_MASE: 2.45164
test_274_MSE: 88551.97656
test_274_MAPE: 100.05491
test_MASE_7_DAYS_6: 0.9426599740982056
mean_squared_error_proper_scale_7: 37.659481048583984
mean_absolute_error_proper_scale_7: 5.977449893951416
mean_absolute_percentage_error_proper_scale_7: 246.08059692382812
mase_proper_scale_7: 3.9849700927734375
smape_proper_scale_7: 0.92471
test_11407_MAE: 4.29344
test_11407_MASE: 2.86229
test_11407_MSE: 20.35117
test_11407_MAPE: 120.68037
test_MASE_7_DAYS_7: 1.046049952507019
mean_squared_error_proper_scale_8: 774.8289794921875
mean_absolute_error_proper_scale_8: 14.998720169067383
mean_absolute_percentage_error_proper_scale_8: 62.883018493652344
mase_proper_scale_8: 0.6521199941635132
smape_proper_scale_8: 0.66771
test_46_MAE: 21.92793
test_46_MASE: 0.95339
test_46_MSE: 1102.05188
test_46_MAPE: 109.47479
test_MASE_7_DAYS_8: 0.9129700064659119
mean_squared_error_proper_scale_9: 2044.2962646484375
mean_absolute_error_proper_scale_9: 39.137779235839844
mean_absolute_percentage_error_proper_scale_9: 39.09767150878906
mase_proper_scale_9: 1.151110053062439
smape_proper_scale_9: 0.49843
test_11326_MAE: 91.5818
test_11326_MASE: 2.69358
test_11326_MSE: 9088.30957
test_11326_MAPE: 100.35943
test_MASE_7_DAYS_9: 0.9998700022697449
mean_squared_error_proper_scale_10: 123.08838653564453
mean_absolute_error_proper_scale_10: 8.014490127563477
mean_absolute_percentage_error_proper_scale_10: 24.694730758666992
mase_proper_scale_10: 0.9428799748420715
smape_proper_scale_10: 0.29743
test_11335_MAE: 27.66019
test_11335_MASE: 3.25414
test_11335_MSE: 846.46985
test_11335_MAPE: 103.33797
test_MASE_7_DAYS_10: 0.6303499937057495
mean_squared_error_proper_scale_11: 26032.203125
mean_absolute_error_proper_scale_11: 145.3772735595703
mean_absolute_percentage_error_proper_scale_11: 46.77885818481445
mase_proper_scale_11: 1.8441100120544434
smape_proper_scale_11: 0.62814
test_12197_MAE: 293.42276
test_12197_MASE: 3.72206
test_12197_MSE: 90613.01562
test_12197_MAPE: 99.74366
test_MASE_7_DAYS_11: 0.887220025062561
mean_squared_error_proper_scale_12: 935.6766967773438
mean_absolute_error_proper_scale_12: 28.033910751342773
mean_absolute_percentage_error_proper_scale_12: 25.09299087524414
mase_proper_scale_12: 1.3901100158691406
smape_proper_scale_12: 0.29271
test_11693_MAE: 107.64715
test_11693_MASE: 5.33788
test_11693_MSE: 11748.49414
test_11693_MAPE: 100.20723
test_MASE_7_DAYS_12: 0.9169999957084656
mean_squared_error_proper_scale_13: 2.0897300243377686
mean_absolute_error_proper_scale_13: 1.2528799772262573
mean_absolute_percentage_error_proper_scale_13: 868681280.0
mase_proper_scale_13: 1.5034600496292114
smape_proper_scale_13: 1.12286
test_11780_MAE: 1.48498
test_11780_MASE: 1.78198
test_11780_MSE: 2.69809
test_11780_MAPE: 328968320.0
test_MASE_7_DAYS_13: 1.4616999626159668
mean_squared_error_proper_scale_14: 53.01729965209961
mean_absolute_error_proper_scale_14: 6.424499988555908
mean_absolute_percentage_error_proper_scale_14: 47.937339782714844
mase_proper_scale_14: 1.6061300039291382
smape_proper_scale_14: 0.65457
test_12502_MAE: 12.95496
test_12502_MASE: 3.23874
test_12502_MSE: 178.68538
test_12502_MAPE: 104.52355
test_MASE_7_DAYS_14: 0.9776399731636047
mean_squared_error_proper_scale_15: 16.028200149536133
mean_absolute_error_proper_scale_15: 3.3704700469970703
mean_absolute_percentage_error_proper_scale_15: 801033472.0
mase_proper_scale_15: 0.7778000235557556
smape_proper_scale_15: 0.81114
test_11866_MAE: 5.21444
test_11866_MASE: 1.20333
test_11866_MSE: 42.57391
test_11866_MAPE: 91194480.0
test_MASE_7_DAYS_15: 0.7149500250816345
mean_squared_error_proper_scale_16: 3176.283935546875
mean_absolute_error_proper_scale_16: 53.725341796875
mean_absolute_percentage_error_proper_scale_16: 90.40471649169922
mase_proper_scale_16: 3.0995399951934814
smape_proper_scale_16: 0.587
test_11400_MAE: 67.96975
test_11400_MASE: 3.92133
test_11400_MSE: 4901.09619
test_11400_MAPE: 100.39816
test_MASE_7_DAYS_16: 0.9172599911689758
mean_squared_error_proper_scale_17: 157509.359375
mean_absolute_error_proper_scale_17: 369.5458679199219
mean_absolute_percentage_error_proper_scale_17: 34.10136032104492
mase_proper_scale_17: 2.103679895401001
smape_proper_scale_17: 0.41771
test_12256_MAE: 1047.33752
test_12256_MASE: 5.96207
test_12256_MSE: 1137149.25
test_12256_MAPE: 99.93609
test_MASE_7_DAYS_17: 0.9835799932479858
mean_squared_error_proper_scale_18: 31.18000030517578
mean_absolute_error_proper_scale_18: 4.476709842681885
mean_absolute_percentage_error_proper_scale_18: 31.951980590820312
mase_proper_scale_18: 1.1678400039672852
smape_proper_scale_18: 0.374
test_10320_MAE: 13.1034
test_10320_MASE: 3.41828
test_10320_MSE: 191.60686
test_10320_MAPE: 103.54318
test_MASE_7_DAYS_18: 0.4352400004863739
mean_squared_error_proper_scale_19: 81.18656921386719
mean_absolute_error_proper_scale_19: 7.682769775390625
mean_absolute_percentage_error_proper_scale_19: 44.275638580322266
mase_proper_scale_19: 1.3968700170516968
smape_proper_scale_19: 0.45257
test_10030_MAE: 17.17504
test_10030_MASE: 3.12274
test_10030_MSE: 360.59183
test_10030_MAPE: 101.17862
test_MASE_7_DAYS_19: 0.5432299971580505
