epoch,model_id,Training_MAE,Training_MASE,Training_MSE,Training_SMAPE,Training_MAPE
0,12322,279.19544557309786,1.025,245846.73933685594,0.164,8860282312153194.0
0,11428,145.33220401633858,0.986,101182.4211178525,0.23,2738876650511649.0
0,11850,154.3770948977492,0.911,79226.81529628894,0.283,3819846025487144.0
0,11852,81.83579054667453,0.927,19400.717242997733,0.26,2558699498523737.0
0,273,184.31354760002807,0.979,126116.5196489617,0.228,2758868677741115.5
0,11036,144.78224049504075,0.992,116335.0731664313,0.262,2309421653832561.5
0,11213,59.09865916614257,0.989,18452.612791555428,0.446,598373204681244.4
0,12532,61.17237055352888,0.982,17897.951505139772,0.566,561779251900849.8
